linux; GNU C++ version 4.6.3; Boost_104601; UHD_003.004.003-release

Using Volk machine: sse4_2_64
-- Opening a USRP2/N-Series device...
-- Current recv frame size: 1472 bytes
-- Current send frame size: 1472 bytes

Symbol Rate:         2.000000
Requested sps:       2.000000
Given sample rate:   195312.500000
Actual sps for rate: 97656.250000

Requested sample rate: 4.000000
Actual sample rate: 195312.500000


Transmitting in 900000000 Hz
Carrier map =  FE7F
carrier_map_new= FE7F


Sensing the spectrum
896899414.062 3.95106504243e-06 1
896923828.125 3.08742294521e-06 1
896948242.188 2.90822904958e-06 1
896972656.25 2.72687321967e-06 1
896997070.312 2.96723969768e-06 1
897021484.375 3.42429645457e-06 1
897045898.438 3.38369334258e-06 1
897070312.5 4.21675295001e-06 1
897094726.562 2.69662346142e-06 1
897119140.625 3.4423729943e-06 1
897143554.688 4.03693429973e-06 1
897167968.75 4.52640466619e-06 1
897192382.812 5.44766616031e-06 1
897216796.875 4.37692312971e-06 1
897241210.938 3.15442663918e-06 1
897265625.0 3.02970834696e-06 1
897290039.062 3.60477053221e-06 1
897314453.125 3.2870969676e-06 1
897338867.188 3.66717968348e-06 1
897363281.25 4.40671173578e-06 1
897387695.312 4.1838053221e-06 1
897412109.375 4.2548719847e-06 1
897436523.438 3.94942350681e-06 1
897460937.5 5.46605400586e-06 1
897485351.562 5.61338250975e-06 1
897509765.625 5.8465094952e-06 1
897534179.688 4.25520448175e-06 1
897558593.75 4.29511249536e-06 1
897583007.812 5.12725991371e-06 1
897607421.875 7.97041034275e-06 1
897631835.938 8.21410901324e-06 1
897656250.0 5.80824744247e-06 1
897680664.062 6.46316827329e-06 1
897705078.125 6.09189429781e-06 1
897729492.188 6.53269894997e-06 1
897753906.25 5.79601564823e-06 1
897778320.312 6.13996353422e-06 1
897802734.375 7.00334027215e-06 1
897827148.438 5.54270412749e-06 1
897851562.5 5.63925774486e-06 1
897875976.562 4.8360245529e-06 1
897900390.625 5.13885524072e-06 1
897924804.688 6.36395564584e-06 1
897949218.75 5.64198068389e-06 1
897973632.812 6.21523605275e-06 1
897998046.875 7.18065942067e-06 1
898022460.938 6.26148678293e-06 1
898046875.0 5.47627915637e-06 1
898071289.062 5.85330256797e-06 1
898095703.125 5.42420838485e-06 1
898120117.188 6.46495446972e-06 1
898144531.25 7.9454146487e-06 1
898168945.312 7.44746153885e-06 1
898193359.375 6.70289114169e-06 1
898217773.438 7.16826958183e-06 1
898242187.5 6.57637807819e-06 1
898266601.562 8.50803507433e-06 1
898291015.625 8.1383334134e-06 1
898315429.688 5.10901722066e-06 1
898339843.75 4.65094704509e-06 1
898364257.812 4.64958749546e-06 1
898388671.875 7.09539609716e-06 1
898413085.938 7.28760422533e-06 1
898437500.0 6.66262870368e-06 1
898461914.062 5.60420706108e-06 1
898486328.125 5.76605471849e-06 1
898510742.188 5.43476546966e-06 1
898535156.25 6.41724237767e-06 1
898559570.312 5.36493280094e-06 1
898583984.375 4.60166766629e-06 1
898608398.438 6.3252752966e-06 1
898632812.5 6.90868635616e-06 1
898657226.562 5.6403644237e-06 1
898681640.625 6.34058933713e-06 1
898706054.688 7.00035949137e-06 1
898730468.75 5.95515682562e-06 1
898754882.812 5.64781228718e-06 1
898779296.875 5.55406572857e-06 1
898803710.938 5.47630567667e-06 1
898828125.0 4.83844509347e-06 1
898852539.062 5.3799960142e-06 1
898876953.125 5.35529268291e-06 1
898901367.188 5.43748755604e-06 1
898925781.25 6.64096801302e-06 1
898950195.312 4.84231047437e-06 1
898974609.375 7.62908388197e-06 1
898999023.438 9.97836228294e-06 1
899023437.5 6.8616432003e-06 1
899047851.562 5.27785723534e-06 1
899072265.625 4.83799705648e-06 1
899096679.688 5.42094068692e-06 1
899121093.75 5.04319388881e-06 1
899145507.812 5.11540998787e-06 1
899169921.875 4.79050875981e-06 1
899194335.938 6.50371994766e-06 1
899218750.0 5.69175304008e-06 1
899243164.062 5.71447456252e-06 1
899267578.125 6.27631850705e-06 1
899291992.188 4.73643925147e-06 1
899316406.25 5.52358237087e-06 1
899340820.312 8.14132089317e-06 1
899365234.375 7.49288461748e-06 1
899389648.438 6.87358771927e-06 1
899414062.5 5.6545319552e-06 1
899438476.562 6.02791077995e-06 1
899462890.625 6.21222170594e-06 1
899487304.688 5.59721613058e-06 1
899511718.75 6.7475041817e-06 1
899536132.812 6.53601272518e-06 1
899560546.875 6.07247732205e-06 1
899584960.938 1.06103056169e-05 1
899609375.0 9.96589693045e-06 1
899633789.062 9.92071201722e-06 1
899658203.125 8.31698156958e-06 1
899682617.188 9.20829049846e-06 1
899707031.25 9.19151715379e-06 1
899731445.312 9.26720260281e-06 1
899755859.375 7.55872234208e-06 1
899780273.438 6.78607356974e-06 1
899804687.5 7.77091995872e-06 1
899829101.562 1.15170498333e-05 1
899853515.625 1.38853342719e-05 1
899877929.688 1.30143529532e-05 1
899902343.75 1.79954940108e-05 1
899926757.812 7.74297468524e-05 1
899951171.875 0.00295228042869 0
899975585.938 0.0472380160196 0
900000000.0 0.301103697745 0
900024414.062 0.573393439367 0
900048828.125 0.299385260811 0
900073242.188 0.0483716526178 0
900097656.25 0.00332188239227 0
900122070.312 8.74060513979e-05 1
900146484.375 2.26953684773e-05 1
900170898.438 1.34498529405e-05 1
900195312.5 1.41660490442e-05 1
900219726.562 1.20462700636e-05 1
900244140.625 1.04285769964e-05 1
900268554.688 7.32173988922e-06 1
900292968.75 8.18246277845e-06 1
900317382.812 8.36899028229e-06 1
900341796.875 8.77043061109e-06 1
900366210.938 9.27325975795e-06 1
900390625.0 8.61986422933e-06 1
900415039.062 9.61977070233e-06 1
900439453.125 1.06212413698e-05 1
900463867.188 1.10676333009e-05 1
900488281.25 7.57151929633e-06 1
900512695.312 7.5093015738e-06 1
900537109.375 9.67550734003e-06 1
900561523.438 6.6811468912e-06 1
900585937.5 6.01617527991e-06 1
900610351.562 7.1352451954e-06 1
900634765.625 7.09106395504e-06 1
900659179.688 7.4163520992e-06 1
900683593.75 7.2899536093e-06 1
900708007.812 5.02218647398e-06 1
900732421.875 5.23801587065e-06 1
900756835.938 5.68174633315e-06 1
900781250.0 6.61412925353e-06 1
900805664.062 6.14690054306e-06 1
900830078.125 6.11807064388e-06 1
900854492.188 7.09847597875e-06 1
900878906.25 5.13551506174e-06 1
900903320.312 4.72023924374e-06 1
900927734.375 6.47236090856e-06 1
900952148.438 5.69499835024e-06 1
900976562.5 4.69684280802e-06 1
901000976.562 5.15963980661e-06 1
901025390.625 8.70451405888e-06 1
901049804.688 1.18105701063e-05 1
901074218.75 8.04102145366e-06 1
901098632.812 6.6045328424e-06 1
901123046.875 6.77879920659e-06 1
901147460.938 4.659670563e-06 1
901171875.0 3.77355685828e-06 1
901196289.062 4.67497318652e-06 1
901220703.125 5.85587559101e-06 1
901245117.188 7.46729389789e-06 1
901269531.25 6.0286148198e-06 1
901293945.312 5.35793263907e-06 1
901318359.375 5.62183115846e-06 1
901342773.438 6.9752944114e-06 1
901367187.5 5.93696941564e-06 1
901391601.562 6.31548682009e-06 1
901416015.625 7.55707306723e-06 1
901440429.688 7.58743929907e-06 1
901464843.75 7.47205216953e-06 1
901489257.812 7.30368468851e-06 1
901513671.875 5.95792935769e-06 1
901538085.938 5.19732830355e-06 1
901562500.0 5.35934786114e-06 1
901586914.062 7.563009774e-06 1
901611328.125 9.65643467339e-06 1
901635742.188 9.37485402801e-06 1
901660156.25 7.65907917071e-06 1
901684570.312 5.28910873356e-06 1
901708984.375 6.72723492983e-06 1
901733398.438 7.59712380329e-06 1
901757812.5 6.03641500447e-06 1
901782226.562 6.52686016451e-06 1
901806640.625 7.02325336306e-06 1
901831054.688 6.18431963062e-06 1
901855468.75 8.60063684627e-06 1
901879882.812 6.24777979112e-06 1
901904296.875 6.72088519309e-06 1
901928710.938 6.23624249556e-06 1
901953125.0 5.6873555053e-06 1
901977539.062 6.05778359954e-06 1
902001953.125 5.76605588662e-06 1
902026367.188 6.28241755294e-06 1
902050781.25 7.15475158586e-06 1
902075195.312 5.28659043084e-06 1
902099609.375 5.85351789084e-06 1
902124023.438 8.12167532445e-06 1
902148437.5 5.51625628304e-06 1
902172851.562 3.8564279464e-06 1
902197265.625 6.29520175153e-06 1
902221679.688 5.71802751779e-06 1
902246093.75 6.34863929179e-06 1
902270507.812 7.24705924426e-06 1
902294921.875 6.31775579905e-06 1
902319335.938 6.70431940648e-06 1
902343750.0 5.61968403474e-06 1
902368164.062 6.12294944915e-06 1
902392578.125 6.27093476453e-06 1
902416992.188 7.73335553106e-06 1
902441406.25 9.76890356128e-06 1
902465820.312 6.77642914866e-06 1
902490234.375 5.8689917239e-06 1
902514648.438 4.47144455507e-06 1
902539062.5 4.20391113778e-06 1
902563476.562 4.85265938437e-06 1
902587890.625 5.24470947028e-06 1
902612304.688 4.21254314347e-06 1
902636718.75 3.92406861636e-06 1
902661132.812 3.17473111977e-06 1
902685546.875 3.06804581953e-06 1
902709960.938 2.97550429877e-06 1
902734375.0 3.38573325109e-06 1
902758789.062 3.91483096109e-06 1
902783203.125 3.51328729664e-06 1
902807617.188 3.51592560719e-06 1
902832031.25 3.59774441563e-06 1
902856445.312 3.58649012924e-06 1
902880859.375 3.99850036956e-06 1
902905273.438 4.37025259998e-06 1
902929687.5 4.47454209507e-06 1
902954101.562 2.92536852271e-06 1
902978515.625 3.12769239201e-06 1
903002929.688 3.19838734129e-06 1
903027343.75 2.99682612876e-06 1
903051757.812 2.69231493064e-06 1
903076171.875 2.79724886809e-06 1
903100585.938 2.52791620881e-06 1
903125000.0 2.85544439294e-06 1


Transmitting in 900000000 Hz
Carrier map =  FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF10FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF


Sensing the spectrum
896899414.062 4.35426832723e-07 1
896923828.125 4.21359382585e-07 1
896948242.188 4.08375643701e-07 1
